Date,Open,High,Low,Close,Adj Close,Volume
2019-10-07 00:00:00+05:30,1409.199951171875,1430.0,1399.0,1410.6500244140625,1401.1156005859375,673596
2019-10-09 00:00:00+05:30,1407.5,1431.8499755859375,1397.550048828125,1425.050048828125,1415.418212890625,381888
2019-10-10 00:00:00+05:30,1422.0,1438.0,1405.5,1412.25,1402.7047119140625,435916
2019-10-11 00:00:00+05:30,1419.300048828125,1454.800048828125,1407.949951171875,1448.0999755859375,1438.3123779296875,649286
2019-10-14 00:00:00+05:30,1457.1500244140625,1477.25,1444.800048828125,1451.75,1441.937744140625,878725
2019-10-15 00:00:00+05:30,1459.9000244140625,1489.0,1457.0,1483.75,1473.721435546875,594035
2019-10-16 00:00:00+05:30,1484.0,1494.4000244140625,1480.0,1483.199951171875,1473.1751708984375,304772
2019-10-17 00:00:00+05:30,1489.0,1493.0,1470.6500244140625,1487.300048828125,1477.24755859375,354752
2019-10-18 00:00:00+05:30,1491.0,1531.0,1490.3499755859375,1507.8499755859375,1497.6585693359375,562505
2019-10-22 00:00:00+05:30,1502.0,1540.0,1502.0,1519.4000244140625,1509.1304931640625,621477
2019-10-23 00:00:00+05:30,1520.0,1530.8499755859375,1510.0,1513.75,1503.5186767578125,193859
2019-10-24 00:00:00+05:30,1518.300048828125,1540.0,1518.300048828125,1536.800048828125,1526.4130859375,340507
2019-10-25 00:00:00+05:30,1540.0,1543.300048828125,1507.3499755859375,1519.3499755859375,1509.080810546875,289340
2019-10-27 00:00:00+05:30,1527.0,1533.25,1520.0,1529.6500244140625,1519.3111572265625,31619
2019-10-29 00:00:00+05:30,1526.0999755859375,1527.0,1393.0,1431.0,1421.3280029296875,2296243
2019-10-30 00:00:00+05:30,1459.800048828125,1489.25,1440.0,1461.949951171875,1452.0687255859375,751366
2019-10-31 00:00:00+05:30,1471.0,1499.800048828125,1463.050048828125,1484.800048828125,1474.7642822265625,457117
2019-11-01 00:00:00+05:30,1492.800048828125,1508.0,1450.0999755859375,1460.0,1450.132080078125,551152
2019-11-04 00:00:00+05:30,1461.0,1471.0,1411.0,1414.75,1405.18798828125,519503
